"Exporter.ISO3","Importer.ISO3","lTrade.value.US"
"AGO","CIV",51.126
"AGO","CMR",21548.861
"AGO","COD",47207.61
"AGO","COG",10823.29
"AGO","GHA",148.412
"AGO","GNQ",1497.617
"AGO","KEN",1336.227
"AGO","MDG",1004.956
"AGO","MOZ",247.03
"AGO","NAM",82495.461
"AGO","NGA",1810.997
"AGO","STP",7847.039
"AGO","ZAF",62.793
"BDI","BEN",35.548
"BDI","COD",112631.11
"BDI","KEN",2373.477
"BDI","MDG",260.255
"BDI","RWA",1109.77
"BDI","TZA",214515.69
"BDI","ZAF",25.31
"BDI","ZWE",0.75
"BEN","BDI",695.1
"BEN","BFA",25301.094
"BEN","BWA",7.46
"BEN","COG",1329.16
"BEN","GAB",4147.107
"BEN","GIN",234.402
"BEN","KEN",60.222
"BEN","MLI",438.564
"BEN","NAM",741.947
"BEN","NER",712.22
"BEN","NGA",2283359.698
"BEN","RWA",15.18
"BEN","TCD",603830.997
"BEN","TGO",251443.906
"BEN","ZAF",19.623
"BFA","BDI",328.14
"BFA","BEN",29884.413
"BFA","CIV",3105.227
"BFA","ETH",2.08
"BFA","GAB",14135.639
"BFA","GHA",4042.603
"BFA","GMB",6904.05
"BFA","KEN",353.36
"BFA","MLI",57975.814
"BFA","NER",28094.7
"BFA","NGA",1352.49
"BFA","TCD",5688.591
"BFA","TGO",19151.554
"BWA","AGO",29775.321
"BWA","BEN",211.962
"BWA","BFA",301961.289
"BWA","CMR",4871.128
"BWA","COD",1072.913
"BWA","COG",30.724
"BWA","ERI",202912.578
"BWA","ETH",4575.94
"BWA","GHA",43.062
"BWA","GIN",108.31
"BWA","KEN",2003.317
"BWA","LSO",29.628
"BWA","MOZ",724.35
"BWA","MUS",50219.492
"BWA","MWI",6831.641
"BWA","NAM",22057859.193
"BWA","NGA",380.933
"BWA","SWZ",12197.42
"BWA","TZA",29543
"BWA","UGA",212314.464
"BWA","ZAF",983583.971
"BWA","ZMB",400245.134
"BWA","ZWE",4359997.93
"CAF","RWA",1183.91
"CAF","ZMB",49520.823
"CIV","AGO",37515.828
"CIV","BDI",1937.65
"CIV","BEN",1195736.524
"CIV","BFA",5814096.514
"CIV","COD",46476.07
"CIV","COG",271888.18
"CIV","ETH",30.73
"CIV","GMB",34255.45
"CIV","KEN",1645.651
"CIV","MDG",13241.991
"CIV","MOZ",847264.41
"CIV","MRT",986.31
"CIV","MUS",4088.374
"CIV","NAM",9030.691
"CIV","NER",11327690.38
"CIV","NGA",37386.387
"CIV","RWA",19877.03
"CIV","SEN",5482388.924
"CIV","TGO",4456567.64
"CIV","TZA",17068
"CIV","ZAF",46966.447
"CIV","ZMB",15335.301
"CMR","AGO",87.636
"CMR","BDI",264.35
"CMR","BEN",56737.734
"CMR","BFA",262258.829
"CMR","COD",1456.83
"CMR","COG",5721283.23
"CMR","EGY",15.98
"CMR","ETH",14.65
"CMR","KEN",534.235
"CMR","NAM",2.571
"CMR","RWA",17707.24
"CMR","SEN",6641.928
"CMR","TZA",329
"CMR","ZAF",376.353
"COD","AGO",324135.92
"COD","BDI",126298.2
"COD","BWA",429.219
"COD","CAF",9168.21
"COD","CMR",66125.68
"COD","COG",10389.66
"COD","EGY",10.01
"COD","ETH",34993.93
"COD","GAB",64644.86
"COD","KEN",312.676
"COD","MDG",435.779
"COD","MOZ",4571.35
"COD","MRT",12604.16
"COD","NAM",4419.682
"COD","NER",496.86
"COD","NGA",11525.37
"COD","RWA",43972.73
"COD","SWZ",263.99
"COD","TGO",2490.536
"COD","TZA",156898
"COD","UGA",199316.73
"COD","ZAF",118856.908
"COD","ZMB",5504.391
"COG","AGO",74707.735
"COG","BWA",14.92
"COG","CAF",4916.56
"COG","CMR",3591.78
"COG","COD",1988.51
"COG","ETH",270.63
"COG","GAB",17214.19
"COG","GHA",8043.99
"COG","KEN",4901.205
"COG","LSO",85.298
"COG","MOZ",6571.19
"COG","NGA",6317.405
"COG","RWA",103.1
"COG","STP",48.635
"COG","TGO",283.26
"COG","TZA",6344
"COG","ZAF",13992.252
"COM","BDI",1183.55
"COM","CIV",236.71
"COM","SWZ",71895.89
"DJI","ETH",50.1
"DJI","KEN",143.761
"DZA","AGO",27052.884
"DZA","BEN",344.334
"DZA","BFA",94901.74
"DZA","COG",784.66
"DZA","EGY",12.784
"DZA","KEN",102.417
"DZA","MAR",105083.232
"DZA","MDG",7999.832
"DZA","MRT",160051.9
"DZA","NER",336342.95
"DZA","SEN",93339.102
"DZA","TUN",155554.488
"DZA","ZAF",270.187
"EGY","AGO",1447563.994
"EGY","BDI",2015077.22
"EGY","BEN",21352.765
"EGY","BFA",618319.713
"EGY","CIV",125271.284
"EGY","CMR",492607.962
"EGY","COD",26457.8
"EGY","COG",34481.24
"EGY","COM",26721.61
"EGY","DJI",4692381.344
"EGY","DZA",4472842.329
"EGY","ERI",132979.689
"EGY","ETH",12986507.27
"EGY","GAB",224983.235
"EGY","GHA",2342639.696
"EGY","GIN",48534.87
"EGY","GMB",34345.71
"EGY","KEN",37881216.7
"EGY","LBY",33765606.566
"EGY","LSO",2393.531
"EGY","MAR",8853867.38
"EGY","MDG",1078280.181
"EGY","MLI",590083.023
"EGY","MOZ",32603.856
"EGY","MRT",120384.17
"EGY","MUS",1270082.877
"EGY","MWI",141173.773
"EGY","NAM",177063.165
"EGY","NER",2231233.76
"EGY","NGA",5132911.56
"EGY","RWA",615404.13
"EGY","SDN",40230028.747
"EGY","SEN",1433026.922
"EGY","SLE",1203.129
"EGY","SOM",7116060
"EGY","SSD",153684.943
"EGY","STP",358601.334
"EGY","SWZ",650.81
"EGY","SYC",24099.701
"EGY","TCD",817084.793
"EGY","TGO",197773.285
"EGY","TUN",23432614.267
"EGY","TZA",2916451
"EGY","UGA",9244015.102
"EGY","ZAF",4257718.525
"EGY","ZMB",298514.679
"EGY","ZWE",111879.33
"ERI","GMB",39319.71
"ETH","AGO",279668.673
"ETH","BDI",323331.79
"ETH","BFA",477943.984
"ETH","BWA",9.978
"ETH","CAF",1422.95
"ETH","CIV",39863.47
"ETH","CMR",22.02
"ETH","COG",101.18
"ETH","COM",2183.96
"ETH","DJI",124.93
"ETH","EGY",37.79
"ETH","GHA",74.09
"ETH","GMB",10.64
"ETH","KEN",10218.076
"ETH","MDG",42030.574
"ETH","MOZ",5967.23
"ETH","MRT",10974.52
"ETH","MWI",132833.96
"ETH","NAM",14.97
"ETH","NER",21585.19
"ETH","NGA",520706.045
"ETH","RWA",417.63
"ETH","SDN",69370.04
"ETH","SOM",188355.25
"ETH","SSD",60837.83
"ETH","TCD",57347.88
"ETH","TZA",5125
"ETH","UGA",20837.37
"ETH","ZAF",292.719
"ETH","ZMB",25566.587
"ETH","ZWE",12.57
"GAB","COG",9105.76
"GAB","KEN",37.225
"GAB","MOZ",188.21
"GAB","MWI",214.381
"GAB","NAM",98.026
"GAB","RWA",31.72
"GAB","SYC",518.278
"GAB","ZAF",90.333
"GAB","ZMB",203969.601
"GHA","AGO",31548.491
"GHA","BEN",10987.916
"GHA","BFA",14111407.875
"GHA","BWA",2151.774
"GHA","COG",34887.58
"GHA","EGY",6.392
"GHA","ETH",25963.2
"GHA","GMB",159871.24
"GHA","KEN",35146.334
"GHA","MAR",247.65
"GHA","MDG",16490.862
"GHA","MRT",907.8
"GHA","NAM",3265.147
"GHA","NER",650870.18
"GHA","NGA",188077.814
"GHA","RWA",3715.46
"GHA","SEN",2260933.873
"GHA","SWZ",301.72
"GHA","TGO",2039696.745
"GHA","TZA",11653
"GHA","ZAF",17474.905
"GHA","ZMB",31489.62
"GHA","ZWE",116.32
"GIN","AGO",27.1
"GIN","BEN",11.828
"GIN","GMB",1351.52
"GIN","MUS",514.342
"GIN","SEN",460616.738
"GMB","SEN",5706.806
"GNB","SEN",39905.217
"GNQ","AGO",16241.792
"GNQ","STP",63235.47
"KEN","AGO",91016.825
"KEN","BDI",3136647.72
"KEN","BEN",42117.624
"KEN","BFA",160603.333
"KEN","BWA",2686251.785
"KEN","CAF",130727.691
"KEN","CMR",117891.033
"KEN","COD",2026929.94
"KEN","COG",128.11
"KEN","COM",1202.87
"KEN","DJI",1590662.107
"KEN","EGY",210.073
"KEN","ETH",5447229.24
"KEN","GHA",2856439.183
"KEN","GIN",59990.793
"KEN","GMB",11955.14
"KEN","GNB",88780.159
"KEN","LBR",47671.743
"KEN","LBY",30243.619
"KEN","LSO",447863.858
"KEN","MDG",639802.518
"KEN","MLI",132914.816
"KEN","MOZ",1141795.45
"KEN","MRT",516.78
"KEN","MUS",1581592.672
"KEN","MWI",15804478.258
"KEN","NAM",83583.649
"KEN","NER",151615.98
"KEN","NGA",2288604.905
"KEN","RWA",30847133.05
