orgState,destState,flows
138,140,14
107,127,35
107,126,33
107,125,4
107,122,18
107,121,31
107,120,442
138,139,22
138,136,1
107,119,151
138,131,38
107,118,44
138,130,290
107,117,74
107,116,153
107,113,10
107,112,10
146,156,47
146,155,92
146,153,86
146,152,3
138,129,42
138,127,521
138,126,38
138,124,4
138,120,24
107,106,330
107,105,63
107,104,71
107,101,3
123,155,7
146,148,22
146,147,5
123,153,9
123,151,15
146,142,5
146,141,54
146,140,31
138,119,119
138,118,73
138,117,60
138,116,47
146,139,19
146,138,441
123,144,18
146,136,13
146,135,1
123,142,7
123,141,2
123,140,12
146,131,290
146,130,165
138,107,33
138,106,91
154,156,1
154,155,17
154,153,73
154,152,589
123,139,6
154,150,35
146,129,69
123,136,34
123,134,2
146,127,326
146,126,28
123,133,77
123,131,1
146,120,33
115,106,21
131,156,237
154,148,29
131,155,53
154,147,47
131,154,2
154,146,7
131,153,162
131,152,5
131,150,21
154,142,313
154,141,22
154,140,72
123,127,6
146,119,415
123,126,7
146,118,28
123,125,172
146,117,72
146,116,41
131,148,48
131,147,6
154,139,984
131,146,447
154,138,12
154,137,65
154,136,34
154,135,6
131,142,13
154,134,5
131,141,140
131,140,207
154,131,12
154,130,18
123,117,5
146,107,32
146,106,91
123,112,3
146,105,10
146,104,1
131,139,42
131,138,64
131,137,5
154,129,28
131,136,22
131,135,21
131,134,1
154,126,40
131,133,2
154,125,2
131,132,3
154,124,190
131,130,136
154,122,16
123,109,26
154,121,321
154,120,30
123,107,2
123,106,21
131,129,268
131,128,2
131,127,109
154,119,30
131,126,39
154,118,44
131,124,3
154,117,43
154,116,22
131,122,1
131,121,16
154,113,12
131,120,603
154,112,12
154,111,6
154,110,4
131,119,551
131,118,39
131,117,115
131,116,136
154,107,29
154,106,34
131,112,7
154,105,28
154,104,3
154,101,16
131,107,546
131,106,197
131,105,33
131,104,9
119,156,97
119,155,251
119,154,34
119,153,207
119,152,19
119,150,26
119,148,80
119,147,18
119,146,838
119,142,36
119,141,120
119,140,290
119,139,70
119,138,310
119,137,9
119,136,33
119,135,17
119,134,2
119,131,824
119,130,175
127,156,13
127,155,432
127,154,3
127,153,269
127,152,4
127,150,8
119,129,689
119,128,11
119,127,1003
119,126,92
119,125,8
119,124,4
119,122,14
119,121,16
119,120,437
104,156,7
127,148,16
127,147,7
104,153,16
127,146,297
104,150,134
127,142,17
127,141,104
127,140,26
119,118,116
119,117,510
119,116,126
119,112,13
119,111,5
119,110,10
104,148,114
127,139,33
127,138,731
127,136,33
104,142,5
127,135,3
104,141,27
104,140,48
127,131,66
127,130,231
119,109,1
119,107,315
119,106,265
119,105,46
119,104,10
119,101,5
135,156,3
135,153,7
135,150,68
127,129,45
104,135,167
127,128,1
127,126,101
127,125,5
104,132,30
104,131,5
127,124,3
104,130,2
127,122,4
127,121,6
127,120,34
135,148,530
135,147,8
112,154,7
112,153,6
112,152,17
112,150,5
135,141,12
104,129,17
135,140,320
104,127,2
104,126,4
127,119,437
127,118,39
127,117,145
127,116,69
104,122,11
104,121,8
104,120,18
127,112,2
127,111,5
112,148,25
112,147,28
112,146,1
135,139,7
112,145,43
135,136,7
112,142,18
112,140,10
135,132,2
135,131,7
104,119,5
104,118,6
104,117,15
104,116,29
127,107,48
104,113,2
127,106,115
104,112,4
127,105,9
127,104,1
127,101,2
112,139,33
112,137,50
135,129,48
112,136,23
135,126,2
112,133,2
112,131,1
135,123,3
135,121,2
135,120,57
104,107,35
104,106,309
104,105,36
104,101,5
120,156,77
120,155,29
120,154,21
120,153,220
120,152,18
120,151,1
120,150,34
112,129,8
112,128,27
112,126,13
135,119,13
135,118,5
112,125,11
112,124,1
135,117,9
135,116,5
112,122,14
112,121,14
112,120,10
120,148,197
120,147,22
120,146,57
143,137,1
120,142,25
120,141,192
120,140,2032
112,119,3
112,118,22
112,117,22
112,116,4
135,107,159
135,106,89
112,113,287
135,105,29
135,104,234
135,101,7
151,152,6
120,139,82
120,138,36
120,136,24
120,135,100
120,132,5
120,131,599
120,130,93
112,106,12
112,105,13
112,101,235
151,144,7
120,129,1432
120,128,1
